Years,State and territory,Leave entitlements,Industry,Median_Weekly_Earnings,Median Weekly Earnings Divide 10
2022,   Australian Capital Territory,Total employees,Public administration and safety,1913,191.34
2022,   Australian Capital Territory,Total employees,Education and training,1859,185.91
2022,   Australian Capital Territory,Total employees,Health care and social assistance,1600,159.95
2022,   Australian Capital Territory,Total employees,Arts and recreation services,2067,206.7
2022,   Australian Capital Territory,Total employees,Other services,1268,126.75
2023,   New South Wales,Total employees,"Agriculture, forestry and fishing",1217,121.68
2023,   New South Wales,Total employees,Mining,2751,275.06
2023,   New South Wales,Total employees,Manufacturing,1608,160.75
2023,   New South Wales,Total employees,"Electricity, gas, water and waste services",1903,190.32
2023,   New South Wales,Total employees,Construction,1501,150.1
2023,   New South Wales,Total employees,Wholesale trade,1491,149.12
2023,   New South Wales,Total employees,Retail trade,1302,130.16
2023,   New South Wales,Total employees,Accommodation and food services,1253,125.28
2023,   New South Wales,Total employees,"Transport, postal and warehousing",1568,156.78
2023,   New South Wales,Total employees,Information Media and telecommunications,2006,200.61
2023,   New South Wales,Total employees,Financial and insurance services,2202,220.2
2023,   New South Wales,Total employees,"Rental, hiring and real estate services",1413,141.29
2023,   New South Wales,Total employees,"Professional, scientific and technical services",2000,200
2023,   New South Wales,Total employees,Administrative and support services,1424,142.4
2023,   New South Wales,Total employees,Public administration and safety,1768,176.84
2023,   New South Wales,Total employees,Education and training,1775,177.5
2023,   New South Wales,Total employees,Health care and social assistance,1600,160
2023,   New South Wales,Total employees,Arts and recreation services,1355,135.53
2023,   New South Wales,Total employees,Other services,1250,125
2023,   Victoria,Total employees,"Agriculture, forestry and fishing",1136,113.61
2023,   Victoria,Total employees,Mining,2471,247.12
2023,   Victoria,Total employees,Manufacturing,1499,149.89
2023,   Victoria,Total employees,"Electricity, gas, water and waste services",2216,221.57
2023,   Victoria,Total employees,Construction,1621,162.14
2023,   Victoria,Total employees,Wholesale trade,1577,157.71
2023,   Victoria,Total employees,Retail trade,1283,128.28
2023,   Victoria,Total employees,Accommodation and food services,1103,110.33
2023,   Victoria,Total employees,"Transport, postal and warehousing",1545,154.49
2023,   Victoria,Total employees,Information Media and telecommunications,1761,176.13
2023,   Victoria,Total employees,Financial and insurance services,1826,182.56
2023,   Victoria,Total employees,"Rental, hiring and real estate services",1383,138.29
2023,   Victoria,Total employees,"Professional, scientific and technical services",1841,184.1
2023,   Victoria,Total employees,Administrative and support services,1624,162.38
2023,   Victoria,Total employees,Public administration and safety,1750,175
2023,   Victoria,Total employees,Education and training,1748,174.83
2023,   Victoria,Total employees,Health care and social assistance,1651,165.11
2023,   Victoria,Total employees,Arts and recreation services,1610,161
2023,   Victoria,Total employees,Other services,1350,135
2023,   Queensland,Total employees,"Agriculture, forestry and fishing",1424,142.43
2023,   Queensland,Total employees,Mining,2212,221.15
2023,   Queensland,Total employees,Manufacturing,1547,154.71
2023,   Queensland,Total employees,"Electricity, gas, water and waste services",2000,199.97
2023,   Queensland,Total employees,Construction,1500,150
2023,   Queensland,Total employees,Wholesale trade,1409,140.92
2023,   Queensland,Total employees,Retail trade,1145,114.5
2023,   Queensland,Total employees,Accommodation and food services,1150,115
2023,   Queensland,Total employees,"Transport, postal and warehousing",1678,167.75
2023,   Queensland,Total employees,Information Media and telecommunications,1719,171.89
2023,   Queensland,Total employees,Financial and insurance services,1533,153.26
2023,   Queensland,Total employees,"Rental, hiring and real estate services",1300,130
2023,   Queensland,Total employees,"Professional, scientific and technical services",1913,191.34
2023,   Queensland,Total employees,Administrative and support services,1270,127.02
2023,   Queensland,Total employees,Public administration and safety,1701,170.14
2023,   Queensland,Total employees,Education and training,1900,190
2023,   Queensland,Total employees,Health care and social assistance,1557,155.71
2023,   Queensland,Total employees,Arts and recreation services,1184,118.4
2023,   Queensland,Total employees,Other services,1400,139.98
2023,   South Australia,Total employees,"Agriculture, forestry and fishing",1200,120
2023,   South Australia,Total employees,Mining,1981,198.14
2023,   South Australia,Total employees,Manufacturing,1400,140.03
2023,   South Australia,Total employees,"Electricity, gas, water and waste services",1823,182.28
2023,   South Australia,Total employees,Construction,1400,140
2023,   South Australia,Total employees,Wholesale trade,1454,145.37
2023,   South Australia,Total employees,Retail trade,1152,115.23
2023,   South Australia,Total employees,Accommodation and food services,1057,105.71
2023,   South Australia,Total employees,"Transport, postal and warehousing",1388,138.8
2023,   South Australia,Total employees,Information Media and telecommunications,1951,195.12
2023,   South Australia,Total employees,Financial and insurance services,1708,170.83
2023,   South Australia,Total employees,"Rental, hiring and real estate services",1569,156.87
2023,   South Australia,Total employees,"Professional, scientific and technical services",1747,174.65
2023,   South Australia,Total employees,Administrative and support services,1200,120
2023,   South Australia,Total employees,Public administration and safety,1779,177.88
2023,   South Australia,Total employees,Education and training,1774,177.42
2023,   South Australia,Total employees,Health care and social assistance,1448,144.8
2023,   South Australia,Total employees,Arts and recreation services,1034,103.4
2023,   South Australia,Total employees,Other services,1126,112.64
2023,   Western Australia,Total employees,"Agriculture, forestry and fishing",1324,132.37
2023,   Western Australia,Total employees,Mining,2500,250
2023,   Western Australia,Total employees,Manufacturing,1637,163.73
2023,   Western Australia,Total employees,"Electricity, gas, water and waste services",1900,190.04
2023,   Western Australia,Total employees,Construction,1737,173.73
2023,   Western Australia,Total employees,Wholesale trade,1393,139.33
2023,   Western Australia,Total employees,Retail trade,1200,120
2023,   Western Australia,Total employees,Accommodation and food services,1137,113.74
2023,   Western Australia,Total employees,"Transport, postal and warehousing",1500,150
2023,   Western Australia,Total employees,Information Media and telecommunications,1752,175.23
2023,   Western Australia,Total employees,Financial and insurance services,1976,197.56
2023,   Western Australia,Total employees,"Rental, hiring and real estate services",1443,144.32
2023,   Western Australia,Total employees,"Professional, scientific and technical services",1913,191.34
2023,   Western Australia,Total employees,Administrative and support services,1589,158.91
2023,   Western Australia,Total employees,Public administration and safety,1756,175.6
2023,   Western Australia,Total employees,Education and training,1549,154.91
2023,   Western Australia,Total employees,Health care and social assistance,1500,150
2023,   Western Australia,Total employees,Arts and recreation services,1671,167.12
2023,   Western Australia,Total employees,Other services,1495,149.53
2023,   Tasmania,Total employees,"Agriculture, forestry and fishing",1347,134.65
2023,   Tasmania,Total employees,Mining,2225,222.51
2023,   Tasmania,Total employees,Manufacturing,1463,146.32
2023,   Tasmania,Total employees,"Electricity, gas, water and waste services",1791,179.13
2023,   Tasmania,Total employees,Construction,1273,127.34
2023,   Tasmania,Total employees,Wholesale trade,1360,135.99
2023,   Tasmania,Total employees,Retail trade,1152,115.23
2023,   Tasmania,Total employees,Accommodation and food services,1152,115.21
2023,   Tasmania,Total employees,"Transport, postal and warehousing",1450,145
2023,   Tasmania,Total employees,Information Media and telecommunications,1674,167.42
2023,   Tasmania,Total employees,Financial and insurance services,1914,191.38
2023,   Tasmania,Total employees,"Rental, hiring and real estate services",1294,129.39
2023,   Tasmania,Total employees,"Professional, scientific and technical services",1705,170.49
2023,   Tasmania,Total employees,Administrative and support services,1154,115.44
2023,   Tasmania,Total employees,Public administration and safety,1746,174.58
2023,   Tasmania,Total employees,Education and training,1728,172.79
2023,   Tasmania,Total employees,Health care and social assistance,1637,163.72
2023,   Tasmania,Total employees,Arts and recreation services,1701,170.1
2023,   Tasmania,Total employees,Other services,1171,117.09
2023,   Northern Territory,Total employees,"Agriculture, forestry and fishing",0,0
2023,   Northern Territory,Total employees,Mining,2750,274.97
2023,   Northern Territory,Total employees,Manufacturing,1456,145.61
2023,   Northern Territory,Total employees,"Electricity, gas, water and waste services",2616,261.58
2023,   Northern Territory,Total employees,Construction,1592,159.23
2023,   Northern Territory,Total employees,Wholesale trade,1678,167.77
2023,   Northern Territory,Total employees,Retail trade,1200,120
2023,   Northern Territory,Total employees,Accommodation and food services,1197,119.67
2023,   Northern Territory,Total employees,"Transport, postal and warehousing",1809,180.88
2023,   Northern Territory,Total employees,Information Media and telecommunications,0,0
2023,   Northern Territory,Total employees,Financial and insurance services,1270,127.02
2023,   Northern Territory,Total employees,"Rental, hiring and real estate services",1496,149.61
2023,   Northern Territory,Total employees,"Professional, scientific and technical services",1757,175.74
2023,   Northern Territory,Total employees,Administrative and support services,1394,139.43
2023,   Northern Territory,Total employees,Public administration and safety,1874,187.4
2023,   Northern Territory,Total employees,Education and training,1649,164.85
2023,   Northern Territory,Total employees,Health care and social assistance,1500,150
2023,   Northern Territory,Total employees,Arts and recreation services,1382,138.15
2023,   Northern Territory,Total employees,Other services,1711,171.09
2023,   Australian Capital Territory,Total employees,"Agriculture, forestry and fishing",0,0
2023,   Australian Capital Territory,Total employees,Mining,0,0
2023,   Australian Capital Territory,Total employees,Manufacturing,1157,115.72
2023,   Australian Capital Territory,Total employees,"Electricity, gas, water and waste services",0,0
2023,   Australian Capital Territory,Total employees,Construction,1686,168.62
2023,   Australian Capital Territory,Total employees,Wholesale trade,1493,149.31
2023,   Australian Capital Territory,Total employees,Retail trade,1250,125
2023,   Australian Capital Territory,Total employees,Accommodation and food services,1499,149.89
2023,   Australian Capital Territory,Total employees,"Transport, postal and warehousing",1545,154.53
2023,   Australian Capital Territory,Total employees,Information Media and telecommunications,1616,161.59
2023,   Australian Capital Territory,Total employees,Financial and insurance services,2080,207.97
2023,   Australian Capital Territory,Total employees,"Rental, hiring and real estate services",0,0
2023,   Australian Capital Territory,Total employees,"Professional, scientific and technical services",2074,207.4
2023,   Australian Capital Territory,Total employees,Administrative and support services,1817,181.74
2023,   Australian Capital Territory,Total employees,Public administration and safety,1788,178.76
2023,   Australian Capital Territory,Total employees,Education and training,1936,193.6
2023,   Australian Capital Territory,Total employees,Health care and social assistance,1506,150.59
2023,   Australian Capital Territory,Total employees,Arts and recreation services,1820,181.95
2023,   Australian Capital Territory,Total employees,Other services,1635,163.51
