Suburb Name or Postcode,Employment Regions (% of population in each Area)
WOODBERRY,Hunter (100%)
WOODBINE (NSW),Sydney South West (100%)
WOODBINE (QLD),Darling Downs (100%)
WOODBRIDGE (TAS),Hobart and Southern Tasmania (100%)
WOODBRIDGE (WA),Perth North (100%)
WOODBURN (NSW 2472),North Coast (100%)
WOODBURN (NSW 2538),Illawarra South Coast (100%)
WOODBURY (QLD),Fitzroy (100%)
WOODBURY (TAS),Hobart and Southern Tasmania (100%)
WOODCHESTER,Adelaide South (100%)
WOODCROFT (NSW),Sydney Greater West (100%)
WOODCROFT (SA),Adelaide South (100%)
WOODENBONG,North Coast(89.6%);New England and North West(10.4%)
WOODEND (QLD),Wivenhoe (100%)
WOODEND (VIC),Bendigo (100%)
WOODEND NORTH,Bendigo (100%)
WOODERSON,Fitzroy (100%)
WOODFIELD,Goulburn/Murray (100%)
WOODFORD (NSW),Sydney Greater West (100%)
WOODFORD (QLD),Somerset (100%)
WOODFORD (VIC),South Coast of Victoria (100%)
WOODFORD ISLAND,North Coast (100%)
WOODFORDE,Adelaide South (100%)
WOODGATE,Wide Bay and Sunshine Coast (100%)
WOODGLEN,Gippsland (100%)
WOODHILL (NSW),Illawarra South Coast (100%)
WOODHILL (QLD),Brisbane South East (100%)
WOODHOUSE,South Coast of Victoria (100%)
WOODHOUSELEE,Capital Region (100%)
WOODLANDS (NSW 2536),Illawarra South Coast (100%)
WOODLANDS (NSW 2575),Illawarra South Coast (100%)
WOODLANDS (QLD),Darling Downs (100%)
WOODLANDS (WA),Perth North (100%)
WOODLANE,Murray and South East (100%)
WOODLAWN,North Coast (100%)
WOODLEIGH (QLD),Darling Downs (100%)
WOODLEIGH (SA),Murray and South East (100%)
WOODLEIGH (VIC),Gippsland (100%)
WOODMILLAR,Wide Bay and Sunshine Coast (100%)
WOODPARK,Sydney Greater West (100%)
WOODRIDGE (QLD),Brisbane South East (100%)
WOODRIDGE (WA),Great Southern - Wheatbelt (100%)
WOODRISING,Hunter (100%)
WOODROFFE,Darwin (100%)
WOODS POINT (SA),Murray and South East (100%)
WOODS POINT (VIC),Goulburn/Murray (100%) 
WOODSDALE,Hobart and Southern Tasmania (100%)
WOODSIDE (NSW),New England and North West (100%)
WOODSIDE (SA),Adelaide South (100%)
WOODSIDE (VIC),Gippsland (100%)
WOODSIDE BEACH,Gippsland (100%)
WOODSREEF,New England and North West (100%)
WOODSTOCK (NSW 2360),New England and North West (100%)
WOODSTOCK (NSW 2538),Illawarra South Coast (100%)
WOODSTOCK (NSW 2793),Central West (100%)
WOODSTOCK (QLD),Townsville (100%)
WOODSTOCK (TAS),Hobart and Southern Tasmania (100%)
WOODSTOCK (VIC),North Eastern Melbourne (100%)
WOODSTOCK ON LODDON,Bendigo (100%)
WOODSTOCK WEST,Bendigo (100%)
WOODVALE (VIC),Bendigo (100%)
WOODVALE (WA),Perth North (100%)
WOODVIEW,North Coast (100%)
WOODVILLE (NSW),Hunter (100%)
WOODVILLE (SA),Adelaide North (100%)
WOODVILLE GARDENS,Adelaide North (100%)
WOODVILLE NORTH,Adelaide North (100%)
WOODVILLE PARK,Adelaide North (100%)
WOODVILLE SOUTH,Adelaide North (100%)
WOODVILLE WEST,Adelaide North (100%)
WOODWARK,Mackay (100%)
WOODY HEAD,North Coast (100%)
WOODY POINT,Somerset (100%)
WOOGENELLUP,Great Southern - Wheatbelt (100%)
WOOL BAY,Mid North SA (100%)
WOOL WOOL,South Coast of Victoria (100%)
WOOLAMAI,Gippsland (100%)
WOOLBROOK,New England and North West (100%)
WOOLEIN,Fitzroy (100%)
WOOLGARLO,Capital Region (100%)
WOOLGOOLGA,Mid North Coast (100%)
WOOLI,North Coast (100%)
WOOLLAHRA,Sydney East Metro (100%)
WOOLLAMIA,Illawarra South Coast (100%)
WOOLLOOMOOLOO,Sydney East Metro (100%)
WOOLLOONGABBA,Brisbane South East(98.9%);Somerset(1.1%)
WOOLMAR,Somerset (100%)
WOOLMER,Darling Downs (100%)
WOOLNER,Darwin (100%)
WOOLNERS ARM,North Coast (100%)
WOOLNORTH,North and North Western Tasmania (100%)
WOOLOCUTTY,Great Southern - Wheatbelt (100%)
WOOLOMIN,New England and North West (100%)
WOOLOOGA,Wide Bay and Sunshine Coast (100%)
WOOLOOMA,Hunter (100%)
WOOLOOMAN,Wivenhoe (100%)
WOOLOOWARE,Sydney East Metro (100%)
WOOLOOWIN,Somerset (100%)
WOOLOWEYAH,North Coast (100%)
WOOLPUNDA,Murray and South East (100%)
WOOLSHED,Wivenhoe (100%)
WOOLSHED FLAT (SA),Mid North SA (100%)
WOOLSHED FLAT (VIC),Bendigo (100%)
WOOLSHEDS,Mid North SA (100%)
WOOLSTHORPE,South Coast of Victoria (100%)
WOOLUMBOOL,Murray and South East (100%)
WOOLWICH,Sydney North and West (100%)
WOOMARGAMA,Murray Riverina (100%)
WOOMBAH,North Coast (100%)
WOOMBYE,Wide Bay and Sunshine Coast (100%)
WOOMELANG,Wimmera Mallee (100%)
WOONDUL,Darling Downs (100%)
WOONDUM,Wide Bay and Sunshine Coast (100%)
WOONGARRA,Wide Bay and Sunshine Coast (100%)
WOONGARRAH,Sydney North and West (100%)
WOONGOOLBA,Gold Coast (100%)
WOONONA,Illawarra South Coast (100%)
WOOPEN CREEK,Cairns (100%)
WOORABINDA,Fitzroy (100%)
WOORAGEE,Goulburn/Murray (100%)
WOORARRA EAST,Gippsland (100%)
WOORARRA WEST,Gippsland (100%)
WOORI YALLOCK,North Eastern Melbourne (100%)
WOORIM,Somerset (100%)
WOORINEN,Wimmera Mallee (100%)
WOORINEN NORTH,Wimmera Mallee (100%)
WOORINEN SOUTH,Wimmera Mallee (100%)
WOORNDOO,South Coast of Victoria(91.7%);Wimmera Mallee(8.3%)
WOOROLOO,Perth North (100%)
WOOROOLIN,Wide Bay and Sunshine Coast (100%)
WOOROONA,Fitzroy (100%)
WOOROONDEN,Wide Bay and Sunshine Coast (100%)
WOOROONOOK,Wimmera Mallee (100%)
WOOROONOORAN,Cairns (100%)
WOORREE,Geraldton (100%)
WOOSANG,Bendigo (100%) 
WOOTHA,Wide Bay and Sunshine Coast (100%)
WOOTONG VALE,South Coast of Victoria (100%)
WOOTTATING,Great Southern - Wheatbelt (100%)
WOOTTON,Mid North Coast (100%)
WOOWOONGA,Wide Bay and Sunshine Coast (100%)
WOOYUNG,North Coast (100%)
WOREE,Cairns (100%)
WORLDS END (SA),Mid North SA (100%)
WORONGARY,Gold Coast (100%)
WORONORA,Sydney East Metro (100%)
WORONORA HEIGHTS,Sydney East Metro (100%)
WORRIGEE,Illawarra South Coast (100%)
WORROLONG,Murray and South East (100%)
WORROWING HEIGHTS,Illawarra South Coast (100%)
WORSLEY,South West WA (100%)
WOWAN,Fitzroy (100%)
WOY WOY,Sydney North and West (100%)
WOY WOY BAY,Sydney North and West (100%)
WRATHALL,Murray Riverina (100%)
WRATTENS FOREST,Wide Bay and Sunshine Coast (100%)
WRATTONBULLY,Murray and South East (100%)
WRIGHTS BEACH,Illawarra South Coast (100%)
WRIGHTS CREEK (NSW),Sydney North and West (100%)
WRIGHTS CREEK (QLD),Cairns (100%)
WROXHAM,Gippsland (100%)
WUBIN,Great Southern - Wheatbelt (100%)
WUK WUK,Gippsland (100%)
WULAGI,Darwin (100%)
WULGULMERANG,Gippsland (100%)
WULGULMERANG EAST,Gippsland (100%)
WULGURU,Townsville (100%)
WULKURAKA,Wivenhoe (100%)
WUNDOWIE,Great Southern - Wheatbelt (100%)
WUNGHNU,Goulburn/Murray (100%)
WUNGONG,Perth South (100%)
WUNJUNGA,Townsville (100%)
WUNKAR,Murray and South East (100%)
WURA,Fitzroy (100%)
WURDIBOLUC,Barwon (100%)
WURDONG HEIGHTS,Fitzroy (100%)
WURRUK,Gippsland (100%)
WURTULLA,Wide Bay and Sunshine Coast (100%)
WURUMA DAM,Wide Bay and Sunshine Coast (100%)
WUTUL,Darling Downs (100%)
WUULUMAN,Far West Orana (100%)
WY YUNG,Gippsland (100%)
WYAGA,Darling Downs (100%)
WYALKATCHEM,Great Southern - Wheatbelt (100%)
WYALLA,Wide Bay and Sunshine Coast (100%)
WYALONG,Central West (100%)
WYAN,North Coast (100%)
WYANBENE,Capital Region (100%)
WYANGALA,Central West(77.8%);Capital Region(22.2%)
WYANGLE,Murray Riverina (100%)
WYARALONG,Wivenhoe (100%)
WYBERBA,Darling Downs (100%)
WYBONG,Hunter (100%)
WYCARBAH,Fitzroy (100%)
WYCHEPROOF,Wimmera Mallee (100%)
WYCHEPROOF SOUTH,Wimmera Mallee (100%)
WYCHIE,Darling Downs (100%)
WYCHITELLA,Bendigo (100%)
WYCHITELLA NORTH,Bendigo (100%)
WYCOMBE,Darling Downs (100%)
WYE,Murray and South East (100%)
WYE RIVER,South Coast of Victoria (100%)
WYEE,Hunter (100%)
WYEE POINT,Hunter (100%)
WYELANGTA,South Coast of Victoria (100%)
WYENA,North and North Western Tasmania (100%)
WYENING,Great Southern - Wheatbelt (100%)
WYLIE CREEK,New England and North West (100%)
WYLIES FLAT,Hunter (100%)
WYMAH,Murray Riverina (100%)
WYNARKA,Murray and South East (100%)
WYNDHAM (NSW),Illawarra South Coast (100%)
WYNDHAM VALE,Western Melbourne (100%)
WYNEDEN,North Coast (100%)
WYNN VALE,Adelaide North (100%)
WYNNUM,Brisbane South East (100%)
WYNNUM WEST,Brisbane South East (100%)
WYNYARD,North and North Western Tasmania (100%)
WYOLA WEST,Great Southern - Wheatbelt (100%)
WYOMI,Murray and South East (100%)
WYOMING,Sydney North and West (100%)
WYONG,Sydney North and West (100%)
WYONG CREEK,Sydney North and West (100%)
WYONGAH,Sydney North and West (100%)
WYRALLAH,North Coast (100%)
WYREEMA,Darling Downs (100%)
WYUNA (QLD),Fitzroy (100%)
WYUNA (VIC),Goulburn/Murray (100%)
WYUNA EAST,Goulburn/Murray (100%)
XANTIPPE,Great Southern - Wheatbelt (100%)
YAAMBA,Fitzroy (100%)
YAAPEET,Wimmera Mallee (100%)
YABBA NORTH,Goulburn/Murray (100%)
YABBA SOUTH,Goulburn/Murray (100%)
YABBERUP,South West WA (100%)
YABBRA,North Coast (100%)
YABULU,Townsville (100%)
YACKA,Mid North SA (100%)
YACKANDANDAH,Goulburn/Murray (100%)
YADBORO,Illawarra South Coast (100%)
YAGABURNE,Darling Downs (100%)
YAGOONA,Sydney South West (100%)
YAHL,Murray and South East (100%)
YAKAMIA,Great Southern - Wheatbelt (100%)
YALANGUR,Darling Downs (100%)
YALBOROO,Mackay (100%)
YALBRAITH,Capital Region (100%)
YALCA,Goulburn/Murray (100%)
YALLA-Y-POORA,Wimmera Mallee (100%)
YALLAH,Illawarra South Coast (100%)
YALLAMBIE,North Eastern Melbourne (100%)
YALLAROI,New England and North West (100%)
YALLINGUP,South West WA (100%)
YALLINGUP SIDING,South West WA (100%)
YALLOURN,Gippsland (100%)
YALLOURN NORTH,Gippsland (100%)
YALWAL,Illawarra South Coast (100%)
YALYALUP,South West WA (100%)
YAMANTO,Wivenhoe (100%)
YAMBA (NSW),North Coast (100%)
YAMBA (SA),Murray and South East (100%)
YAMBACOONA,North and North Western Tasmania (100%)
YAMBUK,South Coast of Victoria (100%)
YAMBUNA,Goulburn/Murray (100%)
YAN YEAN,North Eastern Melbourne (100%)
YANAC,Wimmera Mallee (100%)
YANAKIE,Gippsland (100%)
YANCHEP,Perth North (100%)
YANCO,Murray Riverina (100%)
YANDARAN,Wide Bay and Sunshine Coast (100%)
YANDERRA,Sydney South West (100%)
YANDILLA,Darling Downs (100%)
YANDINA,Wide Bay and Sunshine Coast (100%)
YANDINA CREEK,Wide Bay and Sunshine Coast (100%)
YANDO,Bendigo (100%)
YANDOIT,Ballarat (100%)
YANDOIT HILLS,Bendigo (100%)
YANGA,Murray Riverina (100%)
YANGAN,Darling Downs (100%)
YANGEBUP,Perth South (100%)
YANGERY,South Coast of Victoria (100%)
YANKALILLA,Adelaide South (100%)
YANMAH,South West WA (100%)
YANNATHAN,South Eastern Melbourne and Peninsula (100%)
YANNERGEE,New England and North West (100%)
YANYARRIE,Mid North SA (100%)
YAOUK,Capital Region (100%)
YAPEEN,Bendigo (100%)
YARARA,Murray Riverina (100%)
YARAWINDAH,Great Southern - Wheatbelt (100%)
YARCK,Goulburn/Murray (100%)
YARGULLEN,Darling Downs (100%)
YARLOOP,South West WA (100%)
YAROOMBA,Wide Bay and Sunshine Coast (100%)
YARPTURK,South Coast of Victoria (100%)
YARRA,Capital Region (100%)
YARRA CREEK,North and North Western Tasmania (100%)
YARRA GLEN,North Eastern Melbourne (100%)
YARRA JUNCTION,North Eastern Melbourne (100%)
YARRABAH,Cairns (100%)
YARRABANDAI,Central West (100%)
YARRABERB,Bendigo (100%)
YARRABIN,Central West (100%)
YARRAGAL,Far West Orana (100%)
YARRAGON,Gippsland (100%)
YARRAGON SOUTH,Gippsland (100%)
YARRAGRIN,Far West Orana (100%)
YARRAGUNDRY,Murray Riverina (100%)
YARRAHAPINNI,Mid North Coast (100%)
YARRALUMLA,Capital Region (100%)
YARRAM,Gippsland (100%)
YARRAMALONG,Sydney North and West (100%)
YARRAMAN (NSW),New England and North West (100%)
YARRAMAN (QLD),Darling Downs (100%)
YARRAMBAT,North Eastern Melbourne (100%)
YARRAMUNDI,Sydney Greater West (100%)
YARRANBELLA,Mid North Coast (100%)
YARRANGOBILLY,Murray Riverina (100%)
YARRANLEA,Darling Downs (100%)
YARRAS (NSW 2446),Mid North Coast (100%)
YARRAS (NSW 2795),Central West (100%)
YARRAVEL,Mid North Coast (100%)
YARRAVILLE,Western Melbourne (100%)
YARRAWA,Hunter (100%)
YARRAWALLA,Bendigo (100%)
YARRAWARRAH,Sydney East Metro (100%)
YARRAWONGA (NSW),Central West (100%)
YARRAWONGA (NT),Darwin (100%)
YARRAWONGA (VIC),Goulburn/Murray (100%)
YARRAWONGA PARK,Hunter (100%)
YARRAWONGA SOUTH,Goulburn/Murray (100%)
YARRIE LAKE,New England and North West (100%)
YARROL,Wide Bay and Sunshine Coast (100%)
YARROWEYAH,Goulburn/Murray (100%)
YARROWFORD,New England and North West (100%)
YARROWITCH,New England and North West (100%)
YARROWYCK,New England and North West (100%)
YARWUN,Fitzroy (100%)
YASS,Capital Region (100%)
YASS RIVER,Capital Region (100%)
YATALA,Gold Coast (100%)
YATALA VALE,Adelaide North (100%)
YATCHAW,South Coast of Victoria (100%)
YATHELLA,Murray Riverina (100%)
YATHROO,Great Southern - Wheatbelt (100%)
YATINA,Mid North SA (100%)
YATTALUNGA (NSW),Sydney North and West (100%)
YATTALUNGA (SA),Adelaide North (100%)
YATTE YATTAH,Illawarra South Coast (100%)
YAVEN CREEK,Murray Riverina (100%)
YAWONG HILLS,Wimmera Mallee (100%)
YEA,Goulburn/Murray (100%)
YEAGARUP,South West WA (100%)
YEALERING,Great Southern - Wheatbelt (100%)
YEERONGPILLY,Brisbane South East (100%)
YELARBON,Darling Downs (100%)
YELBENI,Great Southern - Wheatbelt (100%)
YELGUN,North Coast (100%)
YELLINGBO,North Eastern Melbourne (100%)
YELLOW DAM,New England and North West (100%)
YELLOW PINCH,Illawarra South Coast (100%)
YELLOW ROCK (NSW 2527),Illawarra South Coast (100%)
YELLOW ROCK (NSW 2777),Sydney Greater West (100%)
YELLOWDINE,Great Southern - Wheatbelt (100%)
YELTA (SA),Mid North SA (100%)
YELTA (VIC),Wimmera Mallee (100%)
YELVERTON,South West WA (100%)
YENDA (NSW),Murray Riverina (100%)
YENDA (QLD),Wide Bay and Sunshine Coast (100%)
YENDON,Ballarat (100%)
YENGARIE,Wide Bay and Sunshine Coast (100%)
YENNORA,Sydney Greater West (100%)
YEO,South Coast of Victoria (100%)
YEODENE,South Coast of Victoria (100%)
YEOVAL,Far West Orana(93.6%);Central West(6.4%)
YEPPOON,Fitzroy (100%)
YERECOIN,Great Southern - Wheatbelt (100%)
YERING,North Eastern Melbourne (100%)
YERONG CREEK,Murray Riverina (100%)
YERONGA,Brisbane South East (100%)
YERRA,Wide Bay and Sunshine Coast (100%)
YERRINBOOL,Illawarra South Coast (100%)
YERRIYONG,Illawarra South Coast (100%)
YESSABAH,Mid North Coast (100%)
YETHOLME,Central West (100%)
YETMAN,New England and North West (100%)
YEUNGROON,Wimmera Mallee (100%)
YEUNGROON EAST,Wimmera Mallee (100%)
YIELIMA,Goulburn/Murray (100%)
YILLIMINNING,Great Southern - Wheatbelt (100%)
YIMBUN,Wivenhoe (100%)
YINKANIE,Murray and South East (100%)
YINNAR,Gippsland (100%)
YINNAR SOUTH,Gippsland (100%)
YIPPIN CREEK,Mid North Coast (100%)
YOGANUP,South West WA (100%)
YOKINE,Perth North (100%)
YOLLA,North and North Western Tasmania (100%)
YONGALA,Mid North SA (100%)
YOOGALI,Murray Riverina (100%)
YOONGARILLUP,South West WA (100%)
YORK,Great Southern - Wheatbelt (100%)
YORK PLAINS (TAS),Hobart and Southern Tasmania (100%)
YORK TOWN,North and North Western Tasmania (100%)
YORKE VALLEY,Mid North SA (100%)
YORKETOWN,Mid North SA (100%)
YORKEYS KNOB,Cairns (100%)
YORKLEA,North Coast (100%)
YORNANING,Great Southern - Wheatbelt (100%)
YORNUP,South West WA (100%)
YOTING,Great Southern - Wheatbelt (100%)
YOUANMITE,Goulburn/Murray (100%)
YOUARANG,Goulburn/Murray (100%)
YOUNDEGIN,Great Southern - Wheatbelt (100%)
YOUNG,Capital Region (100%)
YOUNGHUSBAND,Murray and South East (100%)
YOUNGHUSBAND HOLDINGS,Murray and South East (100%)
YOUNGS SIDING,Great Southern - Wheatbelt (100%)
YOUNGTOWN,North and North Western Tasmania (100%)
YOURDAMUNG LAKE,South West WA (100%)
YOWIE BAY,Sydney East Metro (100%)
YOWRIE,Illawarra South Coast (100%)
YUGAR,Somerset (100%)
YULABILLA,Darling Downs (100%)
YULEBA,Darling Downs (100%)
YULEBA NORTH,Darling Downs (100%)
YULEBA SOUTH,Darling Downs (100%)
YULECART,South Coast of Victoria (100%)
YULLUNDRY,Central West (100%)
YUMALI,Murray and South East (100%)
YUNDI,Adelaide South (100%)
YUNDOOL,Goulburn/Murray (100%)
YUNGABURRA,Cairns (100%)
YUNTA,Mid North SA (100%)
YUROKE,North Western Melbourne (100%)
YURUGA,Townsville (100%)
YUULONG,South Coast of Victoria (100%)
ZADOWS LANDING,Murray and South East (100%)
ZARA,North Coast (100%)
ZEEHAN,North and North Western Tasmania (100%)
ZEERUST,Goulburn/Murray (100%)
ZETLAND,Sydney East Metro (100%)
ZILLMERE,Somerset (100%)
ZILZIE,Fitzroy (100%)
ZUCCOLI,Darwin (100%)
0221,Capital Region(100%) 
0800,Darwin(100%) 
0801,Darwin(100%) 
0804,Darwin(100%) 
0810,Darwin(100%) 
0811,Darwin(100%) 
0812,Darwin(100%) 
0813,Darwin(100%) 
0814,Darwin(100%) 
0815,Darwin(100%) ;Darwin(100%) 
0820,Darwin(100%) 
0821,Darwin(100%) 
0822,CDP(99.9%) ;Darwin(0.1%) 
0828,Darwin(72.9%) ;CDP(27.1%) 
0829,CDP(94.5%) ;Darwin(5.5%) 
0830,Darwin(100%) ;CDP(0.0%) 
0831,Darwin(100%) 
0832,Darwin(100%) 
0870,Darwin(97.7%) ;CDP(2.3%) 
0871,Darwin(100%) 
0872,CDP(96.4%) ;Darwin(3.6%) 
0873,Darwin(100%) ;CDP(90.5%) ;Darwin(9.5%) 
0874,Darwin(95.8%) ;CDP(4.2%) 
0875,Darwin(96.6%) ;CDP(3.4%) 
0906,Darwin(100%) 
0907,Darwin(100%) 
1001,Sydney East Metro(100%) 
1002,Sydney East Metro(100%) 
1003,Sydney East Metro(100%) 
1004,Sydney East Metro(100%) 
1005,Sydney East Metro(100%) 
1006,Sydney East Metro(100%) 
1007,Sydney East Metro(100%) 
1008,Sydney East Metro(100%) 
1009,Sydney East Metro(100%) 
1010,Sydney East Metro(100%) 
1011,Sydney East Metro(100%) 
1020,Sydney East Metro(100%) 
1021,Sydney East Metro(100%) 
1022,Sydney East Metro(100%) 
1023,Sydney East Metro(100%) 
1025,Sydney East Metro(100%) 
1026,Sydney East Metro(100%) 
1027,Sydney East Metro(100%) 
1028,Sydney East Metro(100%) 
1029,Sydney East Metro(100%) 
1030,Sydney East Metro(100%) 
1031,Sydney East Metro(100%) 
1032,Sydney East Metro(100%) 
1033,Sydney East Metro(100%) 
1034,Sydney East Metro(100%) 
1035,Sydney East Metro(100%) 
1036,Sydney East Metro(100%) 
1037,Sydney East Metro(100%) 
1038,Sydney East Metro(100%) 
1039,Sydney East Metro(100%) 
1040,Sydney East Metro(100%) 
1041,Sydney East Metro(100%) 
1042,Sydney East Metro(100%) 
1043,Sydney East Metro(100%) 
1044,Sydney East Metro(100%) 
1045,Sydney East Metro(100%) 
1046,Sydney East Metro(100%) 
1100,Sydney East Metro(100%) 
1101,Sydney East Metro(100%) 
1105,Sydney East Metro(100%) 
1106,Sydney East Metro(100%) 
1107,Sydney East Metro(100%) 
1108,Sydney East Metro(100%) 
1109,Sydney East Metro(100%) 
1110,Sydney East Metro(100%) 
1112,Sydney East Metro(100%) 
1113,Sydney East Metro(100%) 
1114,Sydney East Metro(100%) 
1115,Sydney East Metro(100%) 
1116,Sydney East Metro(100%) 
1117,Sydney East Metro(100%) 
1118,Sydney East Metro(100%) 
1119,Sydney East Metro(100%) 
1120,Sydney East Metro(100%) 
1121,Sydney East Metro(100%) 
1122,Sydney East Metro(100%) 
1123,Sydney East Metro(100%) 
1124,Sydney East Metro(100%) 
1125,Sydney East Metro(100%) 
1126,Sydney East Metro(100%) 
1127,Sydney East Metro(100%) 
1128,Sydney East Metro(100%) 
1129,Sydney East Metro(100%) 
1130,Sydney East Metro(100%) 
1131,Sydney East Metro(100%) 
1132,Sydney East Metro(100%) 
1133,Sydney East Metro(100%) 
1134,Sydney East Metro(100%) 
1135,Sydney East Metro(100%) 
1136,Sydney East Metro(100%) 
1137,Sydney East Metro(100%) 
1138,Sydney East Metro(100%) 
1139,Sydney East Metro(100%) 
1140,Sydney East Metro(100%) 
1141,Sydney East Metro(100%) 
1142,Sydney East Metro(100%) 
1143,Sydney East Metro(100%) 
1144,Sydney East Metro(100%) 
1145,Sydney East Metro(100%) 
1146,Sydney East Metro(100%) 
1147,Sydney East Metro(100%) 
1148,Sydney East Metro(100%) 
1149,Sydney East Metro(100%) 
1150,Sydney East Metro(100%) 
1151,Sydney East Metro(100%) 
1152,Sydney East Metro(100%) 
1153,Sydney East Metro(100%) 
1154,Sydney East Metro(100%) 
1155,Sydney East Metro(100%) 
1156,Sydney East Metro(100%) 
1157,Sydney East Metro(100%) 
1158,Sydney East Metro(100%) 
1159,Sydney East Metro(100%) 
1160,Sydney East Metro(100%) 
1161,Sydney East Metro(100%) 
1162,Sydney East Metro(100%) 
1163,Sydney East Metro(100%) 
1164,Sydney East Metro(100%) 
1165,Sydney East Metro(100%) 
1166,Sydney East Metro(100%) 
1167,Sydney East Metro(100%) 
1168,Sydney East Metro(100%) 
1169,Sydney East Metro(100%) 
1170,Sydney East Metro(100%) 
1171,Sydney East Metro(100%) 
1172,Sydney East Metro(100%) 
1173,Sydney East Metro(100%) 
1174,Sydney East Metro(100%) 
1175,Sydney East Metro(100%) 
1176,Sydney East Metro(100%) 
1177,Sydney East Metro(100%) 
1178,Sydney East Metro(100%) 
1179,Sydney East Metro(100%) 
1180,Sydney East Metro(100%) 
1181,Sydney East Metro(100%) 
1182,Sydney East Metro(100%) 
1183,Sydney East Metro(100%) 
1184,Sydney East Metro(100%) 
1185,Sydney East Metro(100%) 
1186,Sydney East Metro(100%) 
1187,Sydney East Metro(100%) 
1188,Sydney East Metro(100%) 
1189,Sydney East Metro(100%) 
1190,Sydney East Metro(100%) 
1191,Sydney East Metro(100%) 
1192,Sydney East Metro(100%) 
1193,Sydney East Metro(100%) 
1194,Sydney East Metro(100%) 
1195,Sydney East Metro(100%) 
1196,Sydney East Metro(100%) 
1197,Sydney East Metro(100%) 
1198,Sydney East Metro(100%) 
1199,Sydney East Metro(100%) 
1200,Sydney East Metro(100%) 
1201,Sydney East Metro(100%) 
1202,Sydney East Metro(100%) 
1203,Sydney East Metro(100%) 
1204,Sydney East Metro(100%) 
1205,Sydney East Metro(100%) 
1206,Sydney East Metro(100%) 
1207,Sydney East Metro(100%) 
1208,Sydney East Metro(100%) 
1209,Sydney East Metro(100%) 
1210,Sydney East Metro(100%) 
1211,Sydney East Metro(100%) 
1212,Sydney East Metro(100%) 
1213,Sydney East Metro(100%) 
1214,Sydney East Metro(100%) 
1215,Sydney East Metro(100%) 
1216,Sydney East Metro(100%) 
1217,Sydney East Metro(100%) 
1218,Sydney East Metro(100%) 
1219,Sydney East Metro(100%) 
1220,Sydney East Metro(100%) 
1221,Sydney East Metro(100%) 
1222,Sydney East Metro(100%) 
1223,Sydney East Metro(100%) 
1224,Sydney East Metro(100%) 
1225,Sydney East Metro(100%) 
1226,Sydney East Metro(100%) 
1227,Sydney East Metro(100%) 
1228,Sydney East Metro(100%) 
1229,Sydney East Metro(100%) 
1230,Sydney East Metro(100%) 
1231,Sydney East Metro(100%) 
1232,Sydney East Metro(100%) 
1233,Sydney East Metro(100%) 
1234,Sydney East Metro(100%) 
1235,Sydney East Metro(100%) 
1236,Sydney East Metro(100%) 
1237,Sydney East Metro(100%) 
1238,Sydney East Metro(100%) 
1239,Sydney East Metro(100%) 
1240,Sydney East Metro(100%) 
1291,Sydney East Metro(100%) 
1292,Sydney East Metro(100%) 
1293,Sydney East Metro(100%) 
1294,Sydney East Metro(100%) 
1295,Sydney East Metro(100%) 
1296,Sydney East Metro(100%) 
1297,Sydney East Metro(100%) 
1298,Sydney East Metro(100%) 
1299,Sydney East Metro(100%) 
1300,Sydney East Metro(100%) 
1311,Sydney East Metro(100%) 
1312,Sydney East Metro(100%) 
1313,Sydney East Metro(100%) 
1314,Sydney East Metro(100%) 
1315,Sydney East Metro(100%) 
1316,Sydney East Metro(100%) 
1317,Sydney East Metro(100%) 
1318,Sydney East Metro(100%) 
1319,Sydney East Metro(100%) 
1320,Sydney East Metro(100%) 
1321,Sydney East Metro(100%) 
1322,Sydney East Metro(100%) 
1323,Sydney East Metro(100%) 
1324,Sydney East Metro(100%) 
1325,Sydney East Metro(100%) 
1326,Sydney East Metro(100%) 
1327,Sydney East Metro(100%) 
1328,Sydney East Metro(100%) 
1329,Sydney East Metro(100%) 
1330,Sydney East Metro(100%) 
1331,Sydney East Metro(100%) 
1332,Sydney East Metro(100%) 
1333,Sydney East Metro(100%) 
1334,Sydney East Metro(100%) 
1335,Sydney East Metro(100%) 
1340,Sydney East Metro(100%) 
1350,Sydney East Metro(100%) 
1355,Sydney East Metro(100%) 
1360,Sydney East Metro(100%) 
1401,Capital Region(100%) 
1416,Sydney East Metro(100%) 
1419,Sydney East Metro(100%) 
1420,Sydney East Metro(100%) 
1421,Sydney East Metro(100%) 
1422,Sydney East Metro(100%) 
1423,Sydney East Metro(100%) 
1424,Sydney East Metro(100%) 
1425,Sydney East Metro(100%) 
1426,Sydney East Metro(100%) 
1427,Sydney East Metro(100%) 
1428,Sydney East Metro(100%) 
1429,Sydney East Metro(100%) 
1430,Sydney East Metro(100%) 
1435,Sydney East Metro(100%) 
1440,Sydney East Metro(100%) 
1445,Sydney East Metro(100%) 
1450,Sydney East Metro(100%) 
1455,Sydney East Metro(100%) 
1460,Sydney East Metro(100%) 
1465,Sydney East Metro(100%) 
1466,Sydney East Metro(100%) 
1484,Sydney East Metro(100%) 
1515,Sydney North and West(100%) 
1635,Sydney North and West(100%) 
1701,Sydney Greater West(100%) 
1781,Sydney Greater West(100%) 
1797,Sydney Greater West(100%) 
1851,Sydney South West(100%) 
2000,Sydney East Metro(100%) 
